"UniprotAC","GeneName","DrugID","DrugName","InChI","Indication","Source"
"P04150","NR3C1","DB02210","Hexane-1,6-Diol","InChI=1S/C6H14O2/c7-5-3-1-2-4-6-8/h7-8H,1-6H2",NA,"DrugBank"
"P04150","NR3C1","DB04630","Aldosterone","InChI=1S/C21H28O5/c1-20-7-6-13(24)8-12(20)2-3-14-15-4-5-16(18(26)10-22)21(15,11-23)9-17(25)19(14)20/h8,11,14-17,19,22,25H,2-7,9-10H2,1H3/t14-,15-,16+,17-,19+,20-,21+/m0/s1",NA,"DrugBank"
"P04150","NR3C1","DB00717","Norethisterone","InChI=1S/C20H26O2/c1-3-20(22)11-9-18-17-6-4-13-12-14(21)5-7-15(13)16(17)8-10-19(18,20)2/h1,12,15-18,22H,4-11H2,2H3/t15-,16+,17+,18-,19-,20-/m0/s1","Norethisterone is indicated as an oral contraceptive when given as monotherapy[L9527] or in combination with an estrogen component, such as [ethinylestradiol] or [estradiol].[L10313,L10307] In combination with an estrogen component, oral norethisterone is also indicated as a hormone replacement therapy in the treatment of postmenopausal osteoporosis and moderate-to-severe vasomotor symptoms arising from menopause.[L10304] When applied via transdermal patch, the combination of norethisterone and estradiol is indicated for the treatment of hypoestrogenism, vulvovaginal atrophy, and moderate-severe vasomotor symptoms.[L10301]
Norethisterone, taken in combination with intramuscular [leuprolide], is also indicated for the symptomatic treatment of endometriosis-related pain.[L10310]","DrugBank"
"P04150","NR3C1","DB00838","Clocortolone","InChI=1S/C22H28ClFO4/c1-11-6-13-14-8-16(24)15-7-12(26)4-5-21(15,3)22(14,23)18(28)9-20(13,2)19(11)17(27)10-25/h4-5,7,11,13-14,16,18-19,25,28H,6,8-10H2,1-3H3/t11-,13+,14+,16+,18+,19-,20+,21+,22+/m1/s1","For short-term topical treatment of the inflammatory and pruritic manifestations of moderate to severe corticosteroid-responsive dermatoses of the scalp.","DrugBank"
"P04150","NR3C1","DB00591","Fluocinolone acetonide","InChI=1S/C24H30F2O6/c1-20(2)31-19-9-13-14-8-16(25)15-7-12(28)5-6-21(15,3)23(14,26)17(29)10-22(13,4)24(19,32-20)18(30)11-27/h5-7,13-14,16-17,19,27,29H,8-11H2,1-4H3/t13-,14-,16-,17-,19+,21-,22-,23-,24+/m0/s1","Fluocinolone acetonide has been used extensively in different medical areas.
-In dermatology, it is extensively used for the relief of inflammatory dermatosis, dermatitis, psoriasis, hypertrophic tissues, keloid tissues and atopic dermatitis.[F1955]
-It has been used in shampoo products as a low to medium potency corticosteroid for the treatment of seborrheic dermatitis of the scalp.[L4682]
-In ear drops, it is used as a low to medium potency corticosteroid for the treatment of chronic eczematous external otitis in adults and pediatric patients 2 years and older.[L4683]
-As an intravitreal implant, it is indicated for the treatment of diabetic macular edema with patients that have been previously treated with a course of corticosteroids and no clinically significant rise in intraocular pressure.[L4684]
-Fluocinolone acetonide was announced on October 15, 2018 to be FDA approved for the treatment of chronic non-infectious uveitis affecting the posterior segment of the eye.[L4685]
-Some reports have indicated the use of fluocinolone acetonide as a vasoprotective agent and for its use in the treatment of first-degree hemorrhoids.[A39532]","DrugBank"
"P04150","NR3C1","DB00396","Progesterone","InChI=1S/C21H30O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h12,16-19H,4-11H2,1-3H3/t16-,17+,18-,19-,20-,21+/m0/s1","**Gelatinized capsules**
The gelatinized capsules are indicated for use in the prevention of endometrial hyperplasia in non-hysterectomized postmenopausal women who are receiving conjugated estrogens tablets. They are also indicated for use in secondary amenorrhea [FDA label]. 
**Vaginal gel**
Progesterone gel (8%) is indicated as progesterone supplementation or replacement as part of an Assisted Reproductive Technology (¡°ART¡±) treatment for infertile women with progesterone deficiency.  The lower concentration progesterone gel (4%) is used in the treatment of secondary amenorrhea, with the use of the 8% concentration if there is no therapeutic response to the 4% gel [F3898].
**Vaginal insert**
This form is indicated to support embryo implantation and early pregnancy by supplementation of corpus luteal function as part of an Assisted Reproductive Technology (ART) treatment program for infertile women [F3901].
**Injection (intramuscular)**
This drug is indicated in amenorrhea and abnormal uterine bleeding due to hormonal imbalance in the absence of organic pathology, such as submucous fibroids or uterine cancer [F3907]. 
**Tablets, contraceptive**
The tablet form of progesterone in contraceptive formulations is indicated for the prevention of pregnancy [F3904]. ","DrugBank"
"P04150","NR3C1","DB00769","Hydrocortamate","InChI=1S/C27H41NO6/c1-5-28(6-2)15-23(32)34-16-22(31)27(33)12-10-20-19-8-7-17-13-18(29)9-11-25(17,3)24(19)21(30)14-26(20,27)4/h13,19-21,24,30,33H,5-12,14-16H2,1-4H3/t19-,20-,21-,24+,25-,26-,27-/m0/s1","Used topically as an antiinflammatory in the treatment of steroid-responsive dermatoses","DrugBank"
"P04150","NR3C1","DB05423","ORG-34517","InChI=1S/C28H30O4/c1-3-11-28(30)12-10-23-21-7-4-17-13-19(29)6-8-20(17)26(21)22(15-27(23,28)2)18-5-9-24-25(14-18)32-16-31-24/h5,9,13-14,21-23,30H,4,6-8,10,12,15-16H2,1-2H3/t21-,22+,23-,27-,28-/m0/s1","Investigated for use/treatment in depression.","DrugBank"
"P04150","NR3C1","DB14544","Hydrocortisone valerate","InChI=1S/C26H38O6/c1-4-5-6-22(31)32-26(21(30)15-27)12-10-19-18-8-7-16-13-17(28)9-11-24(16,2)23(18)20(29)14-25(19,26)3/h13,18-20,23,27,29H,4-12,14-15H2,1-3H3/t18-,19-,20-,23+,24-,25-,26-/m0/s1","For the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses. Also used to treat endocrine (hormonal) disorders (adrenal insufficiency, Addisons disease). It is also used to treat many immune and allergic disorders, such as arthritis, lupus, severe psoriasis, severe asthma, ulcerative colitis, and Crohn's disease.","DrugBank"
"P04150","NR3C1","DB00834","Mifepristone","InChI=1S/C29H35NO2/c1-5-15-29(32)16-14-26-24-12-8-20-17-22(31)11-13-23(20)27(24)25(18-28(26,29)2)19-6-9-21(10-7-19)30(3)4/h6-7,9-10,17,24-26,32H,8,11-14,16,18H2,1-4H3/t24-,25+,26-,28-,29-/m0/s1","For the medical termination of intrauterine pregnancy through 49 days' pregnancy. Also indicated to control hyperglycemia secondary to hypercortisolism in adult patients with endogenous Cushing's syndrome who have type 2 diabetes mellitus or glucose intolerance and are not candidates for surgery or have had unsuccessful surgery.","DrugBank"
"P04150","NR3C1","DB01047","Fluocinonide","InChI=1S/C26H32F2O7/c1-13(29)33-12-20(32)26-21(34-22(2,3)35-26)10-15-16-9-18(27)17-8-14(30)6-7-23(17,4)25(16,28)19(31)11-24(15,26)5/h6-8,15-16,18-19,21,31H,9-12H2,1-5H3/t15-,16-,18-,19-,21+,23-,24-,25-,26+/m0/s1","A topical anti-inflammatory product for the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses.","DrugBank"
"P04150","NR3C1","DB01185","Fluoxymesterone","InChI=1S/C20H29FO3/c1-17-8-6-13(22)10-12(17)4-5-15-14-7-9-19(3,24)18(14,2)11-16(23)20(15,17)21/h10,14-16,23-24H,4-9,11H2,1-3H3/t14-,15-,16-,17-,18-,19-,20-/m0/s1","In males, used as replacement therapy in conditions associated with symptoms of deficiency or absence of endogenous testosterone. In females, for palliation of androgenresponsive recurrent mammary cancer in women who are more than one year but less than five years postmenopausal.","DrugBank"
"P04150","NR3C1","DB11921","Deflazacort","InChI=1S/C25H31NO6/c1-13-26-25(20(30)12-31-14(2)27)21(32-13)10-18-17-6-5-15-9-16(28)7-8-23(15,3)22(17)19(29)11-24(18,25)4/h7-9,17-19,21-22,29H,5-6,10-12H2,1-4H3/t17-,18-,19-,21+,22+,23-,24-,25+/m0/s1","Deflazacort is indicated for the treatment of Duchenne Muscular Dystrophy (DMD) in patients 2 years of age and older.[FDA label]","DrugBank"
"P04150","NR3C1","DB00846","Flurandrenolide","InChI=1S/C24H33FO6/c1-21(2)30-19-9-14-13-8-16(25)15-7-12(27)5-6-22(15,3)20(13)17(28)10-23(14,4)24(19,31-21)18(29)11-26/h7,13-14,16-17,19-20,26,28H,5-6,8-11H2,1-4H3/t13-,14-,16-,17-,19+,20+,22-,23-,24+/m0/s1","For relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses, particularly dry, scaling localized lesions","DrugBank"
"P04150","NR3C1","DB01234","Dexamethasone","InChI=1S/C22H29FO5/c1-12-8-16-15-5-4-13-9-14(25)6-7-19(13,2)21(15,23)17(26)10-20(16,3)22(12,28)18(27)11-24/h6-7,9,12,15-17,24,26,28H,4-5,8,10-11H2,1-3H3/t12-,15+,16+,17+,19+,20+,21+,22+/m1/s1","Dexamethasone and [ciprofloxacin] otic suspension is indicated for bacterial infections with inflammation in acute otitis media and acute otitis externa.[L10698] Intramuscular and intravenous injections are indicated for a number of endocrine, rheumatic, collagen, dermatologic, allergic, ophthalmic, gastrointestinal, respiratory, hematologic, neoplastic, edematous, and other conditions.[L10701] Oral tablets are indicated for the treatment of multiple myeloma.[L10710] An intravitreal implant is indicated for some forms of macular edema and non-infectious posterior uveitis affecting the posterior of the eye.[L10719] Various ophthalmic formulations are indicated for inflammatory conditions of the eye.[L10704,L10707,L10713,L10716,L10722,L10725]","DrugBank"
"P04150","NR3C1","DB14669","Betamethasone phosphate","InChI=1S/C22H30FO8P/c1-12-8-16-15-5-4-13-9-14(24)6-7-19(13,2)21(15,23)17(25)10-20(16,3)22(12,27)18(26)11-31-32(28,29)30/h6-7,9,12,15-17,25,27H,4-5,8,10-11H2,1-3H3,(H2,28,29,30)/t12-,15-,16-,17-,19-,20-,21-,22-/m0/s1","Betamethasone phosphate is indicated intramuscularly to treat allergic states, dermatologic diseases, endocrine disorders, gastrointestinal diseases, hematologic disorders, neoplastic diseases, nervous system conditions, ophthalmic diseases, renal diseases, respiratory diseases, rheumatic disorders, trichinosis with neurologic or myocardial involvement, and tuberculous meningitis with subarachnoid block or impending block.[L11994] It is also used intra-articularly in the treatment of acute gouty arthritis, acute and subacute bursitis, acute nonspecific tenosynovitis, epicondylitis, rheumatoid arthritis, and synovitis of osteoarthritis.[L11994] Intralesional betamethasone phospahte is indicated in the treatment of alopecia areata, discoid lupus erythematosus, keloids, lichen planus, lichen simplex chronicus, psoriatic plaques, necrobiosis lipoidica diabeticorum, and localized hypertrophic, infiltrated, inflammatory lesions of granuloma annulare.[L11994]","DrugBank"
"P04150","NR3C1","DB00588","Fluticasone propionate","InChI=1S/C25H31F3O5S/c1-5-20(31)33-25(21(32)34-12-26)13(2)8-15-16-10-18(27)17-9-14(29)6-7-22(17,3)24(16,28)19(30)11-23(15,25)4/h6-7,9,13,15-16,18-19,30H,5,8,10-12H2,1-4H3/t13-,15+,16+,18+,19+,22+,23+,24+,25+/m1/s1","Fluticasone propionate is indicated as an inhaler for the treatment and management of asthma by prophylaxis[FDA Label]as well as inflammatory and pruritic dermatoses[F4355]. Fluticasone propionate nasal spray is indicated for managing allergic and nonallergic rhinitis[L8309,F4358].","DrugBank"
"P04150","NR3C1","DB00288","Amcinonide","InChI=1S/C28H35FO7/c1-16(30)34-15-22(33)28-23(35-26(36-28)9-4-5-10-26)13-20-19-7-6-17-12-18(31)8-11-24(17,2)27(19,29)21(32)14-25(20,28)3/h8,11-12,19-21,23,32H,4-7,9-10,13-15H2,1-3H3/t19-,20-,21-,23+,24-,25-,27-,28+/m0/s1","For the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses.","DrugBank"
"P04150","NR3C1","DB01384","Paramethasone","InChI=1S/C22H29FO5/c1-11-6-14-13-8-16(23)15-7-12(25)4-5-20(15,2)19(13)17(26)9-21(14,3)22(11,28)18(27)10-24/h4-5,7,11,13-14,16-17,19,24,26,28H,6,8-10H2,1-3H3/t11-,13+,14+,16+,17+,19-,20+,21+,22+/m1/s1","For the treatment of all conditions in which corticosteroid therapy is indicated except adrenal-deficiency states for which its lack of sodium-retaining properties makes it less suitable than hydrocortisone with supplementary fludrocortisone.","DrugBank"
"P04150","NR3C1","DB00687","Fludrocortisone","InChI=1S/C21H29FO5/c1-18-7-5-13(24)9-12(18)3-4-15-14-6-8-20(27,17(26)11-23)19(14,2)10-16(25)21(15,18)22/h9,14-16,23,25,27H,3-8,10-11H2,1-2H3/t14-,15-,16-,18-,19-,20-,21-/m0/s1","Fludrocortisone is indicated as partial replacement therapy for primary or secondary adrenocortical insufficiency in Addison's disease. It is also indicated for the treatment of salt-losing androgenital syndrome.[L8971]","DrugBank"
"P04150","NR3C1","DB00959","Methylprednisolone","InChI=1S/C22H30O5/c1-12-8-14-15-5-7-22(27,18(26)11-23)21(15,3)10-17(25)19(14)20(2)6-4-13(24)9-16(12)20/h4,6,9,12,14-15,17,19,23,25,27H,5,7-8,10-11H2,1-3H3/t12-,14-,15-,17-,19+,20-,21-,22-/m0/s1","Oral and intramuscular methylprednisolone are indicated for a number of endocrine,  rheumatic, collagen, dermatologic, allergic, ophthalmic, respiratory, hematologic, neoplastic, edematous, gastrointestinal, nervous system, and other disorders.[L10785,L10788] Intra-articular and soft tissue injections are indicated for short term treatment of acute gouty arthritis, acute and subactute bursitis, acute nonspecific tenosynovitis, epicondylitis, rheumatoid arthritis, and synovitis of osteoarthritis.[L10788] Intralesional injections are indicated for alopecia areata, discoid lupus erythematosus, keloids, lichen planus, lichen simplex chronicus and psoriatic plaques, necrobiosis lipoidica diabeticorum, and localized hypertrophic infiltrated inflammatory lesions of granuloma annulare.[L10788]","DrugBank"
"P04150","NR3C1","DB14539","Hydrocortisone acetate","InChI=1S/C23H32O6/c1-13(24)29-12-19(27)23(28)9-7-17-16-5-4-14-10-15(25)6-8-21(14,2)20(16)18(26)11-22(17,23)3/h10,16-18,20,26,28H,4-9,11-12H2,1-3H3/t16-,17-,18-,20+,21-,22-,23-/m0/s1","For the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses. Also used to treat endocrine (hormonal) disorders (adrenal insufficiency, Addisons disease). It is also used to treat many immune and allergic disorders, such as arthritis, lupus, severe psoriasis, severe asthma, ulcerative colitis, and Crohn's disease.","DrugBank"
"P04150","NR3C1","DB00663","Flumethasone","InChI=1S/C22H28F2O5/c1-11-6-13-14-8-16(23)15-7-12(26)4-5-19(15,2)21(14,24)17(27)9-20(13,3)22(11,29)18(28)10-25/h4-5,7,11,13-14,16-17,25,27,29H,6,8-10H2,1-3H3/t11-,13+,14+,16+,17+,19+,20+,21+,22+/m1/s1","For the treatment of contact dermatitis, atopic dermatitis, exczema, psoriasis, diaper rash and other skin conditions","DrugBank"
"P04150","NR3C1","DB00596","Ulobetasol","InChI=1S/C22H27ClF2O4/c1-11-6-13-14-8-16(24)15-7-12(26)4-5-19(15,2)21(14,25)17(27)9-20(13,3)22(11,29)18(28)10-23/h4-5,7,11,13-14,16-17,27,29H,6,8-10H2,1-3H3/t11-,13-,14-,16-,17-,19-,20-,21-,22-/m0/s1","Ulobetasol cream and ointment are indicated in the treatment of inflammatory and pruritic corticosteroid responsive dermatoses.[L15047] Ulobetasol lotion is indicated in the treatment of plaque psoriasis.[L15052]","DrugBank"
"P04150","NR3C1","DB09095","Difluocortolone","InChI=1S/C22H28F2O4/c1-11-6-13-14-8-16(23)15-7-12(26)4-5-21(15,3)22(14,24)18(28)9-20(13,2)19(11)17(27)10-25/h4-5,7,11,13-14,16,18-19,25,28H,6,8-10H2,1-3H3/t11-,13+,14+,16+,18+,19-,20+,21+,22+/m1/s1","Difluocortolone is used as a topical treatment of the symptoms of inflammatory skin disorders like eczema, seborrheic eczema, lichen planus and psoriasis. All these disorders present as a common characteristic the occurrence of symptoms as itching, swelling, redness and scaling.[L1083]","DrugBank"
"P04150","NR3C1","DB00324","Fluorometholone","InChI=1S/C22H29FO4/c1-12-9-17-15-6-8-21(27,13(2)24)20(15,4)11-18(26)22(17,23)19(3)7-5-14(25)10-16(12)19/h5,7,10,12,15,17-18,26-27H,6,8-9,11H2,1-4H3/t12-,15-,17-,18-,19-,20-,21-,22-/m0/s1","For the ophthalmic treatment of corticosteroid-responsive inflammation of the palpebral and bulbar conjunctiva, cornea and anterior segment of the globe.","DrugBank"
"P04150","NR3C1","DB13867","Fluticasone","InChI=1S/C22H27F3O4S/c1-11-6-13-14-8-16(24)15-7-12(26)4-5-19(15,2)21(14,25)17(27)9-20(13,3)22(11,29)18(28)30-10-23/h4-5,7,11,13-14,16-17,27,29H,6,8-10H2,1-3H3/t11-,13+,14+,16+,17+,19+,20+,21+,22+/m1/s1","Fluticasone's 2 esters are indicated as inhalers for the treatment and management of asthma by prophylaxis[FDA Label][F4364]as well as inflammatory and pruritic dermatoses[F4355]. A [DB00588] nasal spray is indicated for managing nonallergic rhinitis[F4358] while the [DB08906] nasal spray is indicated for treating season and perennial allergic rhinitis[F4361,A177130].","DrugBank"
"P04150","NR3C1","DB00421","Spironolactone","InChI=1S/C24H32O4S/c1-14(25)29-19-13-15-12-16(26)4-8-22(15,2)17-5-9-23(3)18(21(17)19)6-10-24(23)11-7-20(27)28-24/h12,17-19,21H,4-11,13H2,1-3H3/t17-,18-,19+,21+,22-,23-,24+/m0/s1","Spironolactone is indicated for the treatment of New York Heart Association Class III-IV heart failure, management of edema in cirrhotic adults not responsive to fluid and sodium restrictions, primary hyperaldosteronism short-term preoperatively, primary hyperaldosteronism long-term in patients with aldosterone producing adrenal adenomas that are not candidates for surgery or patients with bilarteral micro/macronodular adrenal hyperplasia, as an add-on therapy in hypertension, and in nephrotic syndrome when treatment of the disease as well as fluid and sodium restriction with other diuretics is inadequate.[Label]
Spironolactone has antiandrogenic activity which leads to many of its off label uses. Spironolactone is used off label in the treatment of hirsutism, female pattern hair loss, and adult acne vulgaris.[A178135]
Spironolactone is also frequently used for its antiandrogenic effects in transgender female patients due to its low cost and reducing male-pattern hair growth.[A178138]","DrugBank"
"P04150","NR3C1","DB14541","Hydrocortisone cypionate","InChI=1S/C29H42O6/c1-27-13-11-20(30)15-19(27)8-9-21-22-12-14-29(34,28(22,2)16-23(31)26(21)27)24(32)17-35-25(33)10-7-18-5-3-4-6-18/h15,18,21-23,26,31,34H,3-14,16-17H2,1-2H3/t21-,22-,23-,26+,27-,28-,29-/m0/s1","For the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses. Also used to treat endocrine (hormonal) disorders (adrenal insufficiency, Addisons disease). It is also used to treat many immune and allergic disorders, such as arthritis, lupus, severe psoriasis, severe asthma, ulcerative colitis, and Crohn's disease.","DrugBank"
"P04150","NR3C1","DB01395","Drospirenone","InChI=1S/C24H30O3/c1-22-6-3-12(25)9-17(22)13-10-14(13)20-16(22)4-7-23(2)21(20)15-11-18(15)24(23)8-5-19(26)27-24/h9,13-16,18,20-21H,3-8,10-11H2,1-2H3/t13-,14+,15-,16+,18+,20-,21+,22-,23+,24+/m1/s1","Drospirenone, in combination with ethinyl estradiol or estetrol, is indicated as an oral contraceptive for the prevention of pregnancy.[L7973,L33174] In addition to its use for contraceptive effects, this combination is used to treat moderate acne vulgaris and the symptoms of premenstrual dysphoric disorder.[L7973,L7976]  The drug has approved indications for combination with estrogens for the treatment of menopause-associated symptoms, such as vasomotor symptoms and vulvovaginal atrophy. Drospirenone combined with estrogen may also may aid in the prevention of osteoporosis in women who have been post-menopausal for at least a year and are not candidates for other therapies.[L7997,L8075]   It can sometimes be found in preparations containing estrogen and folic acid for folic acid replenishment during oral contraception.[L8078]
When used for the treatment of acne vulgaris, drospirenone-containing contraceptives should only be used in women ¡Ý14 years of age who have experienced menarche, desire oral contraception, and do not have any contraindications to oral contraceptives.[L7976] Off-label uses for this drug include the treatment of menstrual irregularities, dysmenorrhea, hirsutism, and endometriosis.[A2439,A182576]","DrugBank"
"P04150","NR3C1","DB14538","Hydrocortisone aceponate","InChI=1S/C26H36O7/c1-5-22(31)33-26(21(30)14-32-15(2)27)11-9-19-18-7-6-16-12-17(28)8-10-24(16,3)23(18)20(29)13-25(19,26)4/h12,18-20,23,29H,5-11,13-14H2,1-4H3/t18-,19-,20-,23+,24-,25-,26-/m0/s1","For the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses. Also used to treat endocrine (hormonal) disorders (adrenal insufficiency, Addisons disease). It is also used to treat many immune and allergic disorders, such as arthritis, lupus, severe psoriasis, severe asthma, ulcerative colitis, and Crohn's disease.","DrugBank"
"P04150","NR3C1","DB01380","Cortisone acetate","InChI=1S/C23H30O6/c1-13(24)29-12-19(27)23(28)9-7-17-16-5-4-14-10-15(25)6-8-21(14,2)20(16)18(26)11-22(17,23)3/h10,16-17,20,28H,4-9,11-12H2,1-3H3/t16-,17-,20+,21-,22-,23-/m0/s1","Cortisone acetate is indicated to treat a wide variety of endocrine, rheumatic, collagen, dermatologic, allergic, ophthalmic, respiratory, hematologic, neoplastic, edematous, and gastrointestinal diseases and disorders.[A226300,L13203]","DrugBank"
"P04150","NR3C1","DB00443","Betamethasone","InChI=1S/C22H29FO5/c1-12-8-16-15-5-4-13-9-14(25)6-7-19(13,2)21(15,23)17(26)10-20(16,3)22(12,28)18(27)11-24/h6-7,9,12,15-17,24,26,28H,4-5,8,10-11H2,1-3H3/t12-,15-,16-,17-,19-,20-,21-,22-/m0/s1","As a member of the corticosteroid family, betamethasone is indicated for the treatment of several inflammatory conditions. As topical monotherapy, betamethasone is indicated to relieve pruritic and inflammatory symptoms of corticosteroid-responsive-dermatoses.[L11991,L10782,L11997] Betamethasone can be used topically in combination with a vitamin D analog such as calcipotriene to treat plaque psoriasis.[L12000] The corticosteroid is also available as an injectable suspension and can be used to manage a range of inflammatory conditions including endocrine disorders, gastrointestinal disorders, and rheumatic disorders among other conditions.[L11994]
","DrugBank"
"P04150","NR3C1","DB00351","Megestrol acetate","InChI=1S/C24H32O4/c1-14-12-18-19(22(4)9-6-17(27)13-21(14)22)7-10-23(5)20(18)8-11-24(23,15(2)25)28-16(3)26/h12-13,18-20H,6-11H2,1-5H3/t18-,19+,20+,22-,23+,24+/m1/s1","For the treatment of anorexia, cachexia, or an unexplained, significant weight loss in patients with a diagnosis of acquired immunodeficiency syndrome (AIDS). Also used for the palliative management of recurrent, inoperable, or metastatic breast cancer, endometrial cancer, and prostate cancer in Canada and some other countries.","DrugBank"
"P04150","NR3C1","DB14649","Dexamethasone acetate","InChI=1S/C24H31FO6/c1-13-9-18-17-6-5-15-10-16(27)7-8-21(15,3)23(17,25)19(28)11-22(18,4)24(13,30)20(29)12-31-14(2)26/h7-8,10,13,17-19,28,30H,5-6,9,11-12H2,1-4H3/t13-,17+,18+,19+,21+,22+,23+,24+/m1/s1",NA,"DrugBank"
"P04150","NR3C1","DB00860","Prednisolone","InChI=1S/C21H28O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h5,7,9,14-16,18,22,24,26H,3-4,6,8,10-11H2,1-2H3/t14-,15-,16-,18+,19-,20-,21-/m0/s1","Prednisolone is indicated to treat endocrine, rheumatic, and hematologic disorders; collagen, dermatologic, ophthalmic, respiratory, and gastrointestinal diseases; allergic and edematous states; and other conditions like tuberculous meningitis.[L9542]","DrugBank"
"P04150","NR3C1","DB00223","Diflorasone","InChI=1S/C22H28F2O5/c1-11-6-13-14-8-16(23)15-7-12(26)4-5-19(15,2)21(14,24)17(27)9-20(13,3)22(11,29)18(28)10-25/h4-5,7,11,13-14,16-17,25,27,29H,6,8-10H2,1-3H3/t11-,13-,14-,16-,17-,19-,20-,21-,22-/m0/s1","For relief of the inflammatory and pruritic manifestations of corticosteroid responsive dermatoses.","DrugBank"
"P04150","NR3C1","DB01130","Prednicarbate","InChI=1S/C27H36O8/c1-5-22(31)34-15-21(30)27(35-24(32)33-6-2)12-10-19-18-8-7-16-13-17(28)9-11-25(16,3)23(18)20(29)14-26(19,27)4/h9,11,13,18-20,23,29H,5-8,10,12,14-15H2,1-4H3/t18-,19-,20-,23+,25-,26-,27-/m0/s1","For the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses.","DrugBank"
"P04150","NR3C1","DB00635","Prednisone","InChI=1S/C21H26O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h5,7,9,14-15,18,22,26H,3-4,6,8,10-11H2,1-2H3/t14-,15-,18+,19-,20-,21-/m0/s1","Prednisone is indicated as an anti-inflammatory or immunosuppressive drug for allergic, dermatologic, gastrointestinal, hematologic, ophthalmologic, nervous system, renal, respiratory, rheumatologic, infectious, endocrine, or neoplastic conditions as well as in organ transplant.[L10502]","DrugBank"
"P04150","NR3C1","DB14512","Mometasone furoate","InChI=1S/C27H30Cl2O6/c1-15-11-19-18-7-6-16-12-17(30)8-9-24(16,2)26(18,29)21(31)13-25(19,3)27(15,22(32)14-28)35-23(33)20-5-4-10-34-20/h4-5,8-10,12,15,18-19,21,31H,6-7,11,13-14H2,1-3H3/t15-,18+,19+,21+,24+,25+,26+,27+/m1/s1","Inhaled mometasone furoate is indicated for prophylaxis of asthma in patients ¡Ý4 years.[L9560] Applied topically as an ointment, mometasone furoate is indicated for symptomatic treatment of dermatitis and pruritis in patients ¡Ý2 years.[L9590]
Mometasone furoate nasal spray is available both over-the-counter (OTC) and by prescription. The OTC nasal spray formulation of mometasone furoate is indicated for the treatment of upper respiratory allergic symptoms (e.g. rhinorrhea, sneezing) in patients ¡Ý2 years of age.[L42300] The prescription formulation is indicated for the treatment of chronic rhinosinusitis with nasal polyps in patients ¡Ý18 year old and for the and prophylaxis of seasonal allergic rhinitis in patients ¡Ý12 years old.[L9563] It is also approved in combination with [olopatadine] for the symptomatic treatment of seasonal allergic rhinitis in patients ¡Ý12 years.[L39845]","DrugBank"
"P04150","NR3C1","DB06781","Difluprednate","InChI=1S/C27H34F2O7/c1-5-6-23(34)36-26(22(33)14-35-15(2)30)10-8-17-18-12-20(28)19-11-16(31)7-9-24(19,3)27(18,29)21(32)13-25(17,26)4/h7,9,11,17-18,20-21,32H,5-6,8,10,12-14H2,1-4H3/t17-,18-,20-,21-,24-,25-,26-,27-/m0/s1","For the treatment of inflammation and pain associated with ocular surgery.","DrugBank"
"P04150","NR3C1","DB00741","Hydrocortisone","InChI=1S/C21H30O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h9,14-16,18,22,24,26H,3-8,10-11H2,1-2H3/t14-,15-,16-,18+,19-,20-,21-/m0/s1","Otic solutions are indicated for infections of the external auditory canal caused by susceptible organisms and with inflammation.[L10529,L10532] Hydrocortisone tablets are indicated for certain endocrine, rheumatic, collagen, allergic, ophthalmic, respiratory, hematologic, neoplastic, edematous, gastrointestinal, and other conditions.[L10535] A hydrocortisone enema is indicated for ulcerative colitis,[L10538] a topical ointment with antibiotics is indicated for corticosteroid responsive dermatoses with infections,[L7772] and a topical cream with [acyclovir] is indicated to treat cold sores.[L7321] Oral granules of hydrocortisone are used as a replacement therapy for Adrenocortical Insufficiency (AI) in children under 17 years of age.[L16533]","DrugBank"
"P04150","NR3C1","DB09091","Tixocortol","InChI=1S/C21H30O4S/c1-19-7-5-13(22)9-12(19)3-4-14-15-6-8-21(25,17(24)11-26)20(15,2)10-16(23)18(14)19/h9,14-16,18,23,25-26H,3-8,10-11H2,1-2H3/t14-,15-,16-,18+,19-,20-,21-/m0/s1","Tixocortol is indicated for the treatment of rhinitis as a nasal suspension or aerosol. It is also used in the form of lozenges for the treatment of pharyngitis and in the form of enemas or rectal solution for the treatment of ulcerative colitis. Tixocortol can be used orally in a suspension or powder for the treatment of inflammatory conditions.[L1077] It is also the substance used for the screening of contact allergies to class A steroids.[A31435]","DrugBank"
